num_clusters,LL,AMI,ACC,SHIL,HOMO,COMP,V_MEAS,DS,c-type
1,-16.71146147354459,-3.87748305364491e-15,0.5545602605863192,0.0,-1.292494351211832e-15,1.0,-2.5849887024236675e-15,./PCA/Phishing,GMM
2,-16.039621616244265,0.4765940894942554,0.8835504885993485,0.1391223445350204,0.4767492523425656,0.48153293885546755,0.47912915566270975,./PCA/Phishing,GMM
3,-14.988370392168326,0.2688092889161101,0.8387622149837134,0.15535700270821856,0.3972483884644782,0.2691030812302525,0.32085399435981377,./PCA/Phishing,GMM
4,-14.442855357037386,0.08734103114388474,0.7043973941368078,0.1233885502077572,0.1627041351845298,0.08777924192948065,0.11403587583210463,./PCA/Phishing,GMM
5,-11.466809852992313,0.18663859093321652,0.8509771986970684,0.13980831343026429,0.4268752035769253,0.18706153393649386,0.26013080990712784,./PCA/Phishing,GMM
6,-14.119171188043511,0.15827839354129916,0.8306188925081434,0.13063935249243977,0.3870832443103333,0.15879105032595192,0.2251996678780015,./PCA/Phishing,GMM
7,-14.023421816085664,0.10377390049171967,0.7671009771986971,0.12305404403900319,0.26843100355908855,0.10439530097986867,0.15032702933089898,./PCA/Phishing,GMM
8,-13.665026821828583,0.16779682153265632,0.88314332247557,0.129981620630311,0.4931772252436177,0.16838734598682423,0.25105577798842593,./PCA/Phishing,GMM
9,-13.41771516928815,0.16384961611269153,0.8868078175895765,0.11544526367426207,0.509789953388316,0.16449059783689865,0.24872630258048298,./PCA/Phishing,GMM
10,-13.549448767059149,0.15825125428033956,0.883957654723127,0.10930438441190393,0.5136905290475213,0.1589476648795732,0.24277512279270272,./PCA/Phishing,GMM
11,-13.456939008963749,0.1549766543724528,0.883957654723127,0.10893350531515497,0.5176531661186966,0.15573226952661667,0.23943286599315508,./PCA/Phishing,GMM
12,-13.234029968051683,0.15535572415152066,0.8876221498371335,0.10415526758339078,0.529751605218322,0.15617115340964086,0.24122809213399193,./PCA/Phishing,GMM
13,-13.17211400337215,0.14574250476121506,0.8868078175895765,0.11126310995158636,0.5350666840762492,0.14657717195869194,0.2301159488693205,./PCA/Phishing,GMM
14,-13.190675095990693,0.14165186393353077,0.8868078175895765,0.11032087943972964,0.530894560847154,0.1425430458776441,0.22474339712350663,./PCA/Phishing,GMM
15,-13.302779177869525,0.1257905186452695,0.8599348534201955,0.1190071777980813,0.4852810569793227,0.12674124593410963,0.20098981849843015,./PCA/Phishing,GMM
16,-13.109712747838119,0.11389604605259744,0.8452768729641694,0.11760568175237747,0.4457401074532898,0.11491586747389625,0.18272385707672142,./PCA/Phishing,GMM
17,-12.77247284533248,0.12573634609927742,0.8607491856677525,0.11631307695131575,0.4971777995695334,0.12679928391537149,0.20206443676408514,./PCA/Phishing,GMM
18,-9.519362396540298,0.13595161396373234,0.8868078175895765,0.12434877611557797,0.551516146859475,0.13703890870463833,0.21952978280491942,./PCA/Phishing,GMM
19,-9.236135224557456,0.1365482504156527,0.8868078175895765,0.12518906043841457,0.5590058745904272,0.13768967053812647,0.22095543810899734,./PCA/Phishing,GMM
20,-9.034043336069361,0.135595032875295,0.8868078175895765,0.12463536262196372,0.5609967045546149,0.13679022809379798,0.2199492813218399,./PCA/Phishing,GMM
21,-9.05556909293047,0.1482674722335826,0.9047231270358306,0.1226961820798348,0.6289178714207705,0.14947443013932457,0.24154180416903553,./PCA/Phishing,GMM
22,-9.009535044034921,0.14760308059605068,0.9051302931596091,0.12139133199222307,0.6432463307348283,0.14883785099532984,0.24174047086277725,./PCA/Phishing,GMM
23,-12.226360628391928,0.13583531834602314,0.8900651465798045,0.12254630930402079,0.6015718095038209,0.1371274835403678,0.2233440025808982,./PCA/Phishing,GMM
24,-12.12889828736291,0.13565890371332046,0.8908794788273615,0.12177575869872369,0.6045594779403455,0.1370035780652998,0.22338440665384626,./PCA/Phishing,GMM
25,-11.946554046920305,0.12395693334419816,0.8729641693811075,0.11684307021520424,0.5635943557497731,0.12535304874490982,0.20509046202293255,./PCA/Phishing,GMM
26,-11.89346711865177,0.12376489250409085,0.8770358306188925,0.12133719386339868,0.5707617909455819,0.12519992437713107,0.20535420696412165,./PCA/Phishing,GMM
27,-11.854926333021773,0.12292127879424948,0.8770358306188925,0.11686007891043727,0.5713520453934305,0.12440558282137738,0.20432225625964903,./PCA/Phishing,GMM
28,-11.804960083047296,0.12022925356257744,0.8688925081433225,0.11927688001408478,0.5712925015562338,0.12174090372633053,0.2007108601155384,./PCA/Phishing,GMM
29,-11.803863411597264,0.11471592749379968,0.8648208469055375,0.11755823215545944,0.5470462706171834,0.11629103656100678,0.19180762839203966,./PCA/Phishing,GMM
35,-8.009013409168285,0.12320413345859896,0.887214983713355,0.1311560376226764,0.6198719415232011,0.1250048406224795,0.20805318440251777,./PCA/Phishing,GMM
40,-6.706834226454516,0.11685408198005143,0.8770358306188925,0.12474644311768088,0.6136374867542222,0.11885488545963628,0.19913876503991335,./PCA/Phishing,GMM
50,-4.682051782260257,0.11197720929880962,0.875,0.13814788876518017,0.6137940128840248,0.11442817283850752,0.192895324450594,./PCA/Phishing,GMM
