,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
4,0.210399961,0.0006001,0.726837443,0.73282255,1,"(5,)",8,"{'NN__hidden_layer_sizes': (5,), 'pca__n_components': 8, 'NN__alpha': 1}",1,0.738351254,0.730538922,0.710526316,0.732714756,0.708982036,0.741472172,0.747305389,0.730400958,0.729016787,0.728985941,0.04238675,0.000489979,0.015107657,0.004486117
19,1.011400032,0.000599957,0.726837443,0.733540754,1,"(5, 5)",8,"{'NN__hidden_layer_sizes': (5, 5), 'pca__n_components': 8, 'NN__alpha': 1}",1,0.737156511,0.72994012,0.717703349,0.738401676,0.706586826,0.740275284,0.747305389,0.726810293,0.725419664,0.732276398,0.161906868,0.000489862,0.014288546,0.005076312
18,0.641000032,0.00079999,0.726598037,0.732881947,1,"(5, 5)",7,"{'NN__hidden_layer_sizes': (5, 5), 'pca__n_components': 7, 'NN__alpha': 1}",3,0.732377539,0.729041916,0.715311005,0.733612691,0.71497006,0.737283064,0.743712575,0.730101735,0.726618705,0.734370326,0.105487391,0.000399995,0.010852354,0.002986453
3,0.221000051,0.000799942,0.726358631,0.733001761,1,"(5,)",7,"{'NN__hidden_layer_sizes': (5,), 'pca__n_components': 7, 'NN__alpha': 1}",4,0.734767025,0.730239521,0.715311005,0.732714756,0.711377246,0.738779174,0.74251497,0.729503291,0.727817746,0.733772061,0.053844233,0.000399971,0.011664788,0.003284007
24,1.347800016,0.000999975,0.723964568,0.734737553,1,"(10, 10)",8,"{'NN__hidden_layer_sizes': (10, 10), 'pca__n_components': 8, 'NN__alpha': 1}",5,0.737156511,0.731137725,0.710526316,0.73720443,0.710179641,0.73967684,0.74251497,0.73070018,0.71942446,0.734968591,0.196692062,9.54E-08,0.013487334,0.003458166
13,0.882599974,0.000800037,0.723246349,0.735455596,1,"(20,)",7,"{'NN__hidden_layer_sizes': (20,), 'pca__n_components': 7, 'NN__alpha': 1}",6,0.737156511,0.730838323,0.711722488,0.737503741,0.71257485,0.741472172,0.731736527,0.731298624,0.723021583,0.736165121,0.156878972,0.000400019,0.010126039,0.003987409
17,0.620399952,0.000600004,0.723246349,0.731325795,1,"(5, 5)",6,"{'NN__hidden_layer_sizes': (5, 5), 'pca__n_components': 6, 'NN__alpha': 1}",6,0.731182796,0.728143713,0.716507177,0.733612691,0.707784431,0.730999402,0.743712575,0.728007181,0.717026379,0.735865989,0.113695388,0.000489901,0.01268702,0.003068831
28,3.877199936,0.001600027,0.723246349,0.735934137,1,"(20, 20)",7,"{'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 7, 'NN__alpha': 1}",6,0.740740741,0.729041916,0.706937799,0.739598922,0.708982036,0.740873728,0.738922156,0.731897068,0.720623501,0.738259049,0.573492568,0.000489979,0.014343319,0.004626793
62,1.416600037,0.00079999,0.723246349,0.734079085,0.001,"(5,)",6,"{'NN__hidden_layer_sizes': (5,), 'pca__n_components': 6, 'NN__alpha': 0.001}",6,0.724014337,0.730239521,0.71291866,0.73540856,0.71257485,0.739078396,0.74251497,0.731298624,0.724220624,0.734370326,0.867792365,0.000399995,0.010892242,0.003140658
8,0.511799955,0.000600004,0.723006943,0.73395954,1,"(10,)",7,"{'NN__hidden_layer_sizes': (10,), 'pca__n_components': 7, 'NN__alpha': 1}",10,0.732377539,0.732335329,0.706937799,0.735707872,0.71257485,0.737881508,0.738922156,0.727408737,0.724220624,0.736464254,0.054813833,0.000489901,0.011914687,0.003748684
14,1.014800024,0.000999975,0.723006943,0.735216326,1,"(20,)",8,"{'NN__hidden_layer_sizes': (20,), 'pca__n_components': 8, 'NN__alpha': 1}",10,0.739545998,0.730538922,0.708133971,0.738401676,0.705389222,0.741771394,0.738922156,0.73070018,0.723021583,0.734669459,0.130534891,9.54E-08,0.014552229,0.004374657
23,1.277799988,0.001000023,0.722767537,0.736054273,1,"(10, 10)",7,"{'NN__hidden_layer_sizes': (10, 10), 'pca__n_components': 7, 'NN__alpha': 1}",12,0.737156511,0.730239521,0.703349282,0.742592038,0.711377246,0.740275284,0.735329341,0.730999402,0.726618705,0.736165121,0.445292416,1.17E-07,0.013319048,0.004897646
9,0.568600035,0.000599957,0.72252813,0.736174105,1,"(10,)",8,"{'NN__hidden_layer_sizes': (10,), 'pca__n_components': 8, 'NN__alpha': 1}",13,0.738351254,0.732634731,0.708133971,0.739000299,0.707784431,0.74117295,0.737724551,0.733093956,0.720623501,0.734968591,0.113915122,0.000489862,0.013490042,0.003359869
63,2.145799971,0.001000023,0.722049318,0.735156697,0.001,"(5,)",7,"{'NN__hidden_layer_sizes': (5,), 'pca__n_components': 7, 'NN__alpha': 0.001}",14,0.738351254,0.733532934,0.70215311,0.737803053,0.704191617,0.736086176,0.743712575,0.731897068,0.721822542,0.736464254,0.85140926,1.17E-07,0.017030993,0.002137224
33,0.652399969,0.000800037,0.721809911,0.734139736,0.1,"(5,)",7,"{'NN__hidden_layer_sizes': (5,), 'pca__n_components': 7, 'NN__alpha': 0.1}",15,0.734767025,0.735329341,0.703349282,0.73720443,0.710179641,0.735487732,0.74251497,0.729802513,0.71822542,0.732874663,0.251092503,0.000400019,0.01473613,0.002570467
34,0.598599958,0.000600052,0.721331099,0.733780436,0.1,"(5,)",8,"{'NN__hidden_layer_sizes': (5,), 'pca__n_components': 8, 'NN__alpha': 0.1}",16,0.724014337,0.731736527,0.709330144,0.738102365,0.708982036,0.739377618,0.738922156,0.729204069,0.725419664,0.730481603,0.103075943,0.00048994,0.01122276,0.004147542
2,0.258999968,0.000800037,0.720852286,0.729350715,1,"(5,)",6,"{'NN__hidden_layer_sizes': (5,), 'pca__n_components': 6, 'NN__alpha': 1}",17,0.734767025,0.726347305,0.710526316,0.73151751,0.707784431,0.728605625,0.738922156,0.726511071,0.712230216,0.733772061,0.04278778,0.000748366,0.013205752,0.002894219
29,3.44720006,0.001199961,0.719894661,0.736952925,1,"(20, 20)",8,"{'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 8, 'NN__alpha': 1}",18,0.737156511,0.736826347,0.699760766,0.743489973,0.707784431,0.739377618,0.734131737,0.731298624,0.720623501,0.733772061,0.975278758,0.000400066,0.014518417,0.004259511
32,0.511400032,0.000799942,0.719655255,0.730906651,0.1,"(5,)",6,"{'NN__hidden_layer_sizes': (5,), 'pca__n_components': 6, 'NN__alpha': 0.1}",19,0.726403823,0.726047904,0.710526316,0.733912002,0.711377246,0.735786954,0.736526946,0.722920407,0.713429257,0.735865989,0.083949042,0.000399971,0.010205255,0.005382045
77,3.879999971,0.001000071,0.719415849,0.73485769,0.001,"(5, 5)",6,"{'NN__hidden_layer_sizes': (5, 5), 'pca__n_components': 6, 'NN__alpha': 0.001}",20,0.732377539,0.733532934,0.706937799,0.740197546,0.699401198,0.737881508,0.738922156,0.727408737,0.71942446,0.735267724,0.049952044,1.17E-07,0.014865054,0.004360448
47,2.159200048,0.000800037,0.719176442,0.735515674,0.1,"(5, 5)",6,"{'NN__hidden_layer_sizes': (5, 5), 'pca__n_components': 6, 'NN__alpha': 0.1}",21,0.732377539,0.730239521,0.699760766,0.741993415,0.711377246,0.73668462,0.729341317,0.733093956,0.723021583,0.735566856,0.770454076,0.000400019,0.012088638,0.003925116
49,2.850200033,0.000999975,0.718937036,0.737191407,0.1,"(5, 5)",8,"{'NN__hidden_layer_sizes': (5, 5), 'pca__n_components': 8, 'NN__alpha': 0.1}",22,0.740740741,0.733233533,0.699760766,0.73720443,0.704191617,0.74117295,0.726946108,0.739078396,0.723021583,0.735267724,0.642358335,0.000632485,0.015115547,0.00278492
7,0.581400013,0.000999975,0.71869763,0.731146494,1,"(10,)",6,"{'NN__hidden_layer_sizes': (10,), 'pca__n_components': 6, 'NN__alpha': 1}",23,0.732377539,0.725748503,0.700956938,0.736905118,0.704191617,0.73668462,0.738922156,0.725912627,0.717026379,0.730481603,0.115392576,9.54E-08,0.014996027,0.004915411
12,1.101399994,0.000999928,0.71869763,0.732283735,1,"(20,)",6,"{'NN__hidden_layer_sizes': (20,), 'pca__n_components': 6, 'NN__alpha': 1}",23,0.734767025,0.728143713,0.708133971,0.73720443,0.702994012,0.73518851,0.734131737,0.728605625,0.713429257,0.732276398,0.242163992,0,0.013286711,0.003558631
48,2.294000006,0.000600004,0.71869763,0.73677237,0.1,"(5, 5)",7,"{'NN__hidden_layer_sizes': (5, 5), 'pca__n_components': 7, 'NN__alpha': 0.1}",23,0.738351254,0.731437126,0.703349282,0.741394792,0.699401198,0.73967684,0.737724551,0.733393178,0.714628297,0.737959916,0.797434706,0.000489901,0.01657288,0.003770856
64,1.915400028,0.000800037,0.71869763,0.735216577,0.001,"(5,)",8,"{'NN__hidden_layer_sizes': (5,), 'pca__n_components': 8, 'NN__alpha': 0.001}",23,0.718040621,0.730239521,0.710526316,0.741394792,0.702994012,0.739377618,0.737724551,0.73219629,0.724220624,0.732874663,1.015408855,0.000400019,0.011883089,0.004355741
22,1.238199949,0.000799942,0.718218817,0.731984406,1,"(10, 10)",6,"{'NN__hidden_layer_sizes': (10, 10), 'pca__n_components': 6, 'NN__alpha': 1}",27,0.734767025,0.729640719,0.70215311,0.732116133,0.710179641,0.73668462,0.726946108,0.729503291,0.717026379,0.731977266,0.272002502,0.000399971,0.011617281,0.002598392
38,1.240400076,0.000599957,0.717979411,0.74108244,0.1,"(10,)",7,"{'NN__hidden_layer_sizes': (10,), 'pca__n_components': 7, 'NN__alpha': 0.1}",28,0.729988053,0.738323353,0.706937799,0.74857827,0.707784431,0.74266906,0.724550898,0.73818073,0.720623501,0.737660784,0.269207397,0.000489862,0.009170818,0.004158005
39,1.191599989,0.001000023,0.717500599,0.740963127,0.1,"(10,)",8,"{'NN__hidden_layer_sizes': (10,), 'pca__n_components': 8, 'NN__alpha': 0.1}",29,0.737156511,0.741017964,0.705741627,0.747081712,0.695808383,0.747157391,0.726946108,0.734290844,0.721822542,0.735267724,0.382937385,1.17E-07,0.014856765,0.005527494
69,3.021800041,0.00079999,0.717500599,0.743595475,0.001,"(10,)",8,"{'NN__hidden_layer_sizes': (10,), 'pca__n_components': 8, 'NN__alpha': 0.001}",29,0.731182796,0.74011976,0.693779904,0.746483089,0.720958084,0.747456613,0.726946108,0.737582286,0.714628297,0.746335627,0.680303667,0.000399995,0.013114848,0.003974775
50,5.406400013,0.000799942,0.717261192,0.728154489,0.1,"(10, 10)",4,"{'NN__hidden_layer_sizes': (10, 10), 'pca__n_components': 4, 'NN__alpha': 0.1}",31,0.731182796,0.727844311,0.699760766,0.733313379,0.710179641,0.728306403,0.726946108,0.723818073,0.71822542,0.727490278,0.069901632,0.000399971,0.011361975,0.003032462
27,2.684000063,0.001200008,0.71678238,0.732403585,1,"(20, 20)",6,"{'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 6, 'NN__alpha': 1}",32,0.734767025,0.730838323,0.700956938,0.734211314,0.706586826,0.737283064,0.726946108,0.727707959,0.714628297,0.731977266,0.567838361,0.000400043,0.012541732,0.003217387
67,2.828200006,0.000599957,0.716542973,0.742040326,0.001,"(10,)",6,"{'NN__hidden_layer_sizes': (10,), 'pca__n_components': 6, 'NN__alpha': 0.001}",33,0.729988053,0.742814371,0.70215311,0.745285843,0.711377246,0.742369838,0.719760479,0.74266906,0.71942446,0.737062519,0.857546133,0.000489862,0.009312805,0.002698702
37,1.088000011,0.000999975,0.715345942,0.739346504,0.1,"(10,)",6,"{'NN__hidden_layer_sizes': (10,), 'pca__n_components': 6, 'NN__alpha': 0.1}",34,0.735961768,0.739221557,0.697368421,0.742292727,0.713772455,0.74117295,0.719760479,0.733393178,0.709832134,0.740652109,0.22667947,9.54E-08,0.012661392,0.00313619
55,8.759599972,0.001000071,0.714627723,0.732583298,0.1,"(20, 20)",4,"{'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 4, 'NN__alpha': 0.1}",35,0.724014337,0.730538922,0.69138756,0.738700988,0.708982036,0.731597846,0.731736527,0.729204069,0.717026379,0.732874663,0.213214097,1.17E-07,0.013848782,0.003288793
61,2.326000023,0.000399971,0.713670098,0.723605974,0.001,"(5,)",5,"{'NN__hidden_layer_sizes': (5,), 'pca__n_components': 5, 'NN__alpha': 0.001}",36,0.716845878,0.723652695,0.687799043,0.727626459,0.711377246,0.727707959,0.719760479,0.719928187,0.732613909,0.719114568,0.575536932,0.000489862,0.014700294,0.003652167
66,3.678399992,0.000600004,0.713430692,0.727555221,0.001,"(10,)",5,"{'NN__hidden_layer_sizes': (10,), 'pca__n_components': 5, 'NN__alpha': 0.001}",37,0.722819594,0.724550898,0.687799043,0.727925771,0.707784431,0.730101735,0.722155689,0.725912627,0.726618705,0.729285073,0.125386689,0.000489901,0.014334294,0.002065841
68,2.277199984,0.00079999,0.712951879,0.738807331,0.001,"(10,)",7,"{'NN__hidden_layer_sizes': (10,), 'pca__n_components': 7, 'NN__alpha': 0.001}",38,0.714456392,0.735928144,0.700956938,0.739598922,0.706586826,0.743566727,0.718562874,0.733991622,0.724220624,0.740951241,0.927010152,0.000399995,0.008306435,0.003445449
42,2.901399946,0.000600052,0.712473067,0.748264055,0.1,"(20,)",6,"{'NN__hidden_layer_sizes': (20,), 'pca__n_components': 6, 'NN__alpha': 0.1}",39,0.719235364,0.74491018,0.693779904,0.750673451,0.713772455,0.753141831,0.731736527,0.744464393,0.70383693,0.748130422,0.64526855,0.00048994,0.012981142,0.003325708
75,3.832199955,0.000800037,0.712473067,0.721031804,0.001,"(5, 5)",4,"{'NN__hidden_layer_sizes': (5, 5), 'pca__n_components': 4, 'NN__alpha': 0.001}",39,0.72520908,0.718263473,0.700956938,0.724633343,0.699401198,0.722321963,0.725748503,0.720227409,0.711031175,0.719712833,0.047364135,0.000400019,0.011351242,0.002221981
78,3.734799957,0.000600004,0.712473067,0.737250965,0.001,"(5, 5)",7,"{'NN__hidden_layer_sizes': (5, 5), 'pca__n_components': 7, 'NN__alpha': 0.001}",39,0.720430108,0.734131737,0.696172249,0.735109249,0.706586826,0.737881508,0.720958084,0.739377618,0.71822542,0.739754711,0.370275177,0.000489901,0.009684727,0.002258562
60,2.093399954,0.0006001,0.711994254,0.717082628,0.001,"(5,)",4,"{'NN__hidden_layer_sizes': (5,), 'pca__n_components': 4, 'NN__alpha': 0.001}",42,0.72520908,0.715568862,0.70215311,0.725231966,0.707784431,0.721125075,0.728143713,0.717833633,0.696642686,0.705653605,0.818711835,0.000489979,0.012534382,0.006576187
43,3.404999971,0.001000071,0.711754848,0.752813162,0.1,"(20,)",7,"{'NN__hidden_layer_sizes': (20,), 'pca__n_components': 7, 'NN__alpha': 0.1}",43,0.726403823,0.751497006,0.706937799,0.756360371,0.695808383,0.755834829,0.717365269,0.748952723,0.712230216,0.751420879,0.577625505,1.17E-07,0.010237963,0.002838552
30,0.79260006,0.000600052,0.711515442,0.713491247,0.1,"(5,)",4,"{'NN__hidden_layer_sizes': (5,), 'pca__n_components': 4, 'NN__alpha': 0.1}",44,0.722819594,0.71257485,0.703349282,0.721640227,0.713772455,0.720227409,0.711377246,0.704967086,0.706235012,0.708046665,0.416054738,0.00048994,0.006748476,0.006556315
65,3.5704,0.000399971,0.711276035,0.726178352,0.001,"(10,)",4,"{'NN__hidden_layer_sizes': (10,), 'pca__n_components': 4, 'NN__alpha': 0.001}",45,0.722819594,0.723353293,0.703349282,0.726429213,0.706586826,0.728605625,0.720958084,0.719628965,0.70263789,0.732874663,0.098115377,0.000489862,0.008792671,0.004509337
79,3.410199928,0.000800037,0.711276035,0.739465422,0.001,"(5, 5)",8,"{'NN__hidden_layer_sizes': (5, 5), 'pca__n_components': 8, 'NN__alpha': 0.001}",45,0.726403823,0.732335329,0.706937799,0.744088596,0.701796407,0.744464393,0.717365269,0.734889288,0.70383693,0.741549506,0.455552112,0.000400019,0.009276324,0.004949466
45,3.869800043,0.000600004,0.711036629,0.720972121,0.1,"(5, 5)",4,"{'NN__hidden_layer_sizes': (5, 5), 'pca__n_components': 4, 'NN__alpha': 0.1}",47,0.720430108,0.719760479,0.696172249,0.723436097,0.702994012,0.721424297,0.720958084,0.721424297,0.714628297,0.718815435,0.061107767,0.000489901,0.009853266,0.001587418
44,3.424000025,0.000800037,0.709600192,0.754728541,0.1,"(20,)",8,"{'NN__hidden_layer_sizes': (20,), 'pca__n_components': 8, 'NN__alpha': 0.1}",48,0.718040621,0.753892216,0.703349282,0.758455552,0.694610778,0.762118492,0.722155689,0.746858169,0.709832134,0.752318277,0.510771587,0.000400019,0.009926458,0.005233614
80,5.387200022,0.000599957,0.709600192,0.729829738,0.001,"(10, 10)",4,"{'NN__hidden_layer_sizes': (10, 10), 'pca__n_components': 4, 'NN__alpha': 0.001}",48,0.715651135,0.726047904,0.693779904,0.73540856,0.691017964,0.726810293,0.731736527,0.728306403,0.715827338,0.732575531,0.07245245,0.000489862,0.015236628,0.003588941
36,2.227799988,0.001000023,0.708642566,0.725460058,0.1,"(10,)",5,"{'NN__hidden_layer_sizes': (10,), 'pca__n_components': 5, 'NN__alpha': 0.1}",50,0.713261649,0.725149701,0.686602871,0.715653996,0.708982036,0.727707959,0.718562874,0.730400958,0.715827338,0.728387676,1.037828549,1.17E-07,0.011467248,0.005182503
